region,year ,month,date,hospital_beds,COVID_hospitals,Hospitals,COVID_Beds,Intensive_COVID_beds,ID_Beds,Infection_beds,COVID_proportion,Hospitals_involved
Кърджали,2020,юли,15.7.2020,769,2,6,26,19,4,24,"3,38","33,3"
Хасково,2020,юли,15.7.2020,1093,5,11,12,38,0,22,"1,10","45,5"
Благоевград,2020,юни,15.6.2020,1815,6,11,156,57,20,69,"8,60","54,5"
Варна,2020,юни,15.6.2020,2389,1,19,70,90,0,70,"2,93","5,3"
Велико Търново,2020,юни,15.6.2020,1576,2,13,23,39,0,30,"1,46","15,4"
Видин,2020,юни,15.6.2020,320,1,2,54,6,6,0,"16,88","50,0"
Враца,2020,юни,15.6.2020,1201,0,12,19,40,0,10,"1,58","0,0"
Габрово,2020,юни,15.6.2020,905,2,7,30,13,0,30,"3,31","28,6"
Кюстендил,2020,юни,15.6.2020,1011,2,5,45,22,8,46,"4,45","40,0"
Монтана,2020,юни,15.6.2020,994,4,5,52,22,5,11,"5,23","80,0"
Перник,2020,юни,15.6.2020,447,3,4,0,10,0,15,"0,00","75,0"
Плевен,2020,юни,15.6.2020,2053,3,14,88,105,7,40,"4,29","21,4"
Пловдив,2020,юни,15.6.2020,7617,15,39,334,242,68,84,"4,38","38,5"
Разград,2020,юни,15.6.2020,553,3,3,116,22,16,15,"20,98","100,0"
Русе,2020,юни,15.6.2020,1850,4,10,279,54,48,20,"15,08","40,0"
Сливен,2020,юни,15.6.2020,1167,5,8,96,27,0,48,"8,23","62,5"
Смолян,2020,юни,15.6.2020,1059,4,8,157,9,9,13,"14,83","50,0"
София-град,2020,юни,15.6.2020,12314,9,74,383,665,135,213,"3,11","12,2"
Шумен,2020,юни,15.6.2020,762,0,5,0,28,0,20,"0,00","0,0"
Ямбол,2020,юни,15.6.2020,452,1,4,10,23,0,10,"2,21","25,0"
Бургас,2020,юни,15.6.2020,3050,2,18,22,77,12,53,"0,72","11,1"
Кърджали,2020,юни,15.6.2020,769,2,6,16,19,0,14,"2,08","33,3"
Хасково,2020,юни,15.6.2020,1093,4,11,12,38,0,22,"1,10","36,4"
Благоевград,2021,август,15.8.2021,1815,7,11,114,57,11,69,"6,28","63,6"
Варна,2021,август,15.8.2021,2389,7,19,304,90,32,70,"12,72","36,8"
Велико Търново,2021,август,15.8.2021,1576,6,13,236,43,20,126,"14,97","46,2"
Видин,2021,август,15.8.2021,320,2,2,29,6,1,0,"9,06","100,0"
Враца,2021,август,15.8.2021,1201,2,12,73,40,5,10,"6,08","16,7"
Габрово,2021,август,15.8.2021,905,5,7,119,13,8,52,"13,15","71,4"
Кюстендил,2021,август,15.8.2021,1011,3,5,88,28,7,46,"8,70","60,0"
Монтана,2021,август,15.8.2021,994,4,5,114,22,6,18,"11,47","80,0"
Перник,2021,август,15.8.2021,447,3,4,36,10,4,15,"8,05","75,0"
Плевен,2021,август,15.8.2021,2624,1,14,77,115,3,40,"2,93","7,1"
Пловдив,2021,август,15.8.2021,7691,12,39,449,250,66,84,"5,84","30,8"
Разград,2021,август,15.8.2021,553,3,3,37,22,6,15,"6,69","100,0"
Русе,2021,август,15.8.2021,1880,5,10,208,92,41,20,"11,06","50,0"
Сливен,2021,август,15.8.2021,1120,4,8,123,32,6,48,"10,98","50,0"
Смолян,2021,август,15.8.2021,1060,4,8,62,12,6,32,"5,85","50,0"
София-град,2021,август,15.8.2021,12303,23,74,959,734,96,237,"7,79","31,1"
Шумен,2021,август,15.8.2021,741,2,5,103,28,4,47,"13,90","40,0"
Ямбол,2021,август,15.8.2021,452,4,4,62,24,6,20,"13,72","100,0"
Бургас,2021,август,15.8.2021,3050,10,18,251,89,24,53,"8,23","55,6"
Кърджали,2021,август,15.8.2021,769,5,6,61,19,3,20,"7,93","83,3"
Хасково,2021,август,15.8.2021,1093,9,11,173,38,13,22,"15,83","81,8"
Благоевград,2021,април,15.4.2021,1815,7,11,569,57,24,69,"31,35","63,6"
Варна,2021,април,15.4.2021,2389,8,19,566,90,72,70,"23,69","42,1"
Велико Търново,2021,април,15.4.2021,1576,6,13,279,41,20,133,"17,70","46,2"
Видин,2021,април,15.4.2021,320,2,2,81,6,2,0,"25,31","100,0"
Враца,2021,април,15.4.2021,1201,2,12,269,40,16,10,"22,40","16,7"
Габрово,2021,април,15.4.2021,905,5,7,198,13,8,52,"21,88","71,4"
Кюстендил,2021,април,15.4.2021,1011,3,5,208,28,13,46,"20,57","60,0"
Монтана,2021,април,15.4.2021,994,4,5,263,22,5,0,"26,46","80,0"
Перник,2021,април,15.4.2021,447,3,4,197,10,10,15,"44,07","75,0"
Плевен,2021,април,15.4.2021,2611,14,14,558,115,39,40,"21,37","100,0"
Пловдив,2021,април,15.4.2021,7691,21,39,1244,250,116,84,"16,17","53,8"
Разград,2021,април,15.4.2021,553,3,3,161,22,6,18,"29,11","100,0"
Русе,2021,април,15.4.2021,1880,5,10,346,100,56,20,"18,40","50,0"
Сливен,2021,април,15.4.2021,1167,5,8,279,40,12,48,"23,91","62,5"
Смолян,2021,април,15.4.2021,1060,4,8,246,12,11,60,"23,21","50,0"
София-град,2021,април,15.4.2021,12309,70,74,3378,888,433,745,"27,44","94,6"
Шумен,2021,април,15.4.2021,775,3,5,275,30,8,70,"35,48","60,0"
Ямбол,2021,април,15.4.2021,452,4,4,161,24,9,20,"35,62","100,0"
Бургас,2021,април,15.4.2021,3050,11,18,727,89,29,53,"23,84","61,1"
Кърджали,2021,април,15.4.2021,769,5,6,179,19,12,46,"23,28","83,3"
Хасково,2021,април,15.4.2021,1093,9,11,351,38,26,22,"32,11","81,8"
Благоевград,2021,декември,15.12.2021,1815,7,11,387,57,25,69,"21,32","63,6"
Варна,2021,декември,15.12.2021,2389,6,19,470,90,57,70,"19,67","31,6"
Велико Търново,2021,декември,15.12.2021,1576,6,13,227,39,18,84,"14,40","46,2"
Видин,2021,декември,15.12.2021,320,2,2,60,6,2,0,"18,75","100,0"
Враца,2021,декември,15.12.2021,1201,3,12,261,40,18,10,"21,73","25,0"
Габрово,2021,декември,15.12.2021,905,5,7,196,15,11,52,"21,66","71,4"
Кюстендил,2021,декември,15.12.2021,1011,3,5,149,28,15,46,"14,74","60,0"
Монтана,2021,декември,15.12.2021,994,4,5,238,22,6,0,"23,94","80,0"
Перник,2021,декември,15.12.2021,447,3,4,138,10,9,15,"30,87","75,0"
Плевен,2021,декември,15.12.2021,2679,13,14,278,115,21,40,"10,38","92,9"
Пловдив,2021,декември,15.12.2021,7691,19,39,1005,250,140,84,"13,07","48,7"
Разград,2021,декември,15.12.2021,553,3,3,116,22,12,25,"20,98","100,0"
Русе,2021,декември,15.12.2021,1880,6,10,325,114,70,20,"17,29","60,0"
Сливен,2021,декември,15.12.2021,1120,4,8,191,40,18,48,"17,05","50,0"
Смолян,2021,декември,15.12.2021,1060,4,8,174,12,11,60,"16,42","50,0"
София-град,2021,декември,15.12.2021,12274,39,74,1851,788,308,376,"15,08","52,7"
Шумен,2021,декември,15.12.2021,741,3,5,234,26,8,60,"31,58","60,0"
